INFO: 03/10/2023 02:02:18 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116526.txt
INFO: 03/10/2023 02:02:18 Extracting data from USC00116558.txt
INFO: 03/10/2023 02:02:18 Saving data from USC00116558.txt
INFO: 03/10/2023 02:02:18 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116558.txt
INFO: 03/10/2023 02:02:18 Extracting data from USC00116579.txt
INFO: 03/10/2023 02:02:18 Saving data from USC00116579.txt
INFO: 03/10/2023 02:02:18 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116579.txt
INFO: 03/10/2023 02:02:18 Extracting data from USC00116610.txt
INFO: 03/10/2023 02:02:19 Saving data from USC00116610.txt
INFO: 03/10/2023 02:02:19 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116610.txt
INFO: 03/10/2023 02:02:19 Extracting data from USC00116738.txt
INFO: 03/10/2023 02:02:19 Saving data from USC00116738.txt
INFO: 03/10/2023 02:02:19 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116738.txt
INFO: 03/10/2023 02:02:19 Extracting data from USC00116910.txt
INFO: 03/10/2023 02:02:19 Saving data from USC00116910.txt
INFO: 03/10/2023 02:02:19 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00116910.txt
INFO: 03/10/2023 02:02:19 Extracting data from USC00117551.txt
INFO: 03/10/2023 02:02:19 Saving data from USC00117551.txt
INFO: 03/10/2023 02:02:19 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00117551.txt
INFO: 03/10/2023 02:02:19 Extracting data from USC00118147.txt
INFO: 03/10/2023 02:02:20 Saving data from USC00118147.txt
INFO: 03/10/2023 02:02:20 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00118147.txt
INFO: 03/10/2023 02:02:20 Extracting data from USC00118740.txt
INFO: 03/10/2023 02:02:20 Saving data from USC00118740.txt
INFO: 03/10/2023 02:02:20 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00118740.txt
INFO: 03/10/2023 02:02:20 Extracting data from USC00118916.txt
INFO: 03/10/2023 02:02:20 Saving data from USC00118916.txt
INFO: 03/10/2023 02:02:20 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00118916.txt
INFO: 03/10/2023 02:02:20 Extracting data from USC00119241.txt
INFO: 03/10/2023 02:02:20 Saving data from USC00119241.txt
INFO: 03/10/2023 02:02:20 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00119241.txt
INFO: 03/10/2023 02:02:20 Extracting data from USC00119354.txt
INFO: 03/10/2023 02:02:21 Saving data from USC00119354.txt
INFO: 03/10/2023 02:02:21 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00119354.txt
INFO: 03/10/2023 02:02:21 Extracting data from USC00120177.txt
INFO: 03/10/2023 02:02:21 Saving data from USC00120177.txt
INFO: 03/10/2023 02:02:21 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00120177.txt
INFO: 03/10/2023 02:02:21 Extracting data from USC00120200.txt
INFO: 03/10/2023 02:02:21 Saving data from USC00120200.txt
INFO: 03/10/2023 02:02:21 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00120200.txt
INFO: 03/10/2023 02:02:21 Extracting data from USC00120676.txt
INFO: 03/10/2023 02:02:21 Saving data from USC00120676.txt
INFO: 03/10/2023 02:02:21 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00120676.txt
INFO: 03/10/2023 02:02:21 Extracting data from USC00120784.txt
INFO: 03/10/2023 02:02:22 Saving data from USC00120784.txt
INFO: 03/10/2023 02:02:22 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00120784.txt
INFO: 03/10/2023 02:02:22 Extracting data from USC00121030.txt
INFO: 03/10/2023 02:02:22 Saving data from USC00121030.txt
INFO: 03/10/2023 02:02:22 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00121030.txt
INFO: 03/10/2023 02:02:22 Extracting data from USC00121229.txt
INFO: 03/10/2023 02:02:22 Saving data from USC00121229.txt
INFO: 03/10/2023 02:02:23 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00121229.txt
INFO: 03/10/2023 02:02:23 Extracting data from USC00121425.txt
INFO: 03/10/2023 02:02:23 Saving data from USC00121425.txt
INFO: 03/10/2023 02:02:23 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00121425.txt
INFO: 03/10/2023 02:02:23 Extracting data from USC00121747.txt
INFO: 03/10/2023 02:02:23 Saving data from USC00121747.txt
INFO: 03/10/2023 02:02:23 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00121747.txt
INFO: 03/10/2023 02:02:23 Extracting data from USC00121873.txt
INFO: 03/10/2023 02:02:23 Saving data from USC00121873.txt
INFO: 03/10/2023 02:02:23 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00121873.txt
INFO: 03/10/2023 02:02:23 Extracting data from USC00122149.txt
INFO: 03/10/2023 02:02:24 Saving data from USC00122149.txt
INFO: 03/10/2023 02:02:24 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00122149.txt
INFO: 03/10/2023 02:02:24 Extracting data from USC00123418.txt
INFO: 03/10/2023 02:02:24 Saving data from USC00123418.txt
INFO: 03/10/2023 02:02:24 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00123418.txt
INFO: 03/10/2023 02:02:24 Extracting data from USC00123513.txt
INFO: 03/10/2023 02:02:24 Saving data from USC00123513.txt
INFO: 03/10/2023 02:02:24 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00123513.txt
INFO: 03/10/2023 02:02:24 Extracting data from USC00123527.txt
INFO: 03/10/2023 02:02:24 Saving data from USC00123527.txt
INFO: 03/10/2023 02:02:24 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00123527.txt
INFO: 03/10/2023 02:02:24 Extracting data from USC00124008.txt
INFO: 03/10/2023 02:02:25 Saving data from USC00124008.txt
INFO: 03/10/2023 02:02:25 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00124008.txt
INFO: 03/10/2023 02:02:25 Extracting data from USC00124181.txt
INFO: 03/10/2023 02:02:25 Saving data from USC00124181.txt
INFO: 03/10/2023 02:02:25 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00124181.txt
INFO: 03/10/2023 02:02:25 Extracting data from USC00124837.txt
INFO: 03/10/2023 02:02:25 Saving data from USC00124837.txt
INFO: 03/10/2023 02:02:25 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00124837.txt
INFO: 03/10/2023 02:02:25 Extracting data from USC00125237.txt
INFO: 03/10/2023 02:02:25 Saving data from USC00125237.txt
INFO: 03/10/2023 02:02:25 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00125237.txt
INFO: 03/10/2023 02:02:25 Extracting data from USC00125337.txt
INFO: 03/10/2023 02:02:26 Saving data from USC00125337.txt
INFO: 03/10/2023 02:02:26 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00125337.txt
INFO: 03/10/2023 02:02:26 Extracting data from USC00126001.txt
INFO: 03/10/2023 02:02:26 Saving data from USC00126001.txt
INFO: 03/10/2023 02:02:26 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00126001.txt
INFO: 03/10/2023 02:02:26 Extracting data from USC00126580.txt
INFO: 03/10/2023 02:02:26 Saving data from USC00126580.txt
INFO: 03/10/2023 02:02:26 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00126580.txt
INFO: 03/10/2023 02:02:26 Extracting data from USC00126705.txt
INFO: 03/10/2023 02:02:27 Saving data from USC00126705.txt
INFO: 03/10/2023 02:02:27 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00126705.txt
INFO: 03/10/2023 02:02:27 Extracting data from USC00127125.txt
INFO: 03/10/2023 02:02:27 Saving data from USC00127125.txt
INFO: 03/10/2023 02:02:27 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127125.txt
INFO: 03/10/2023 02:02:27 Extracting data from USC00127298.txt
INFO: 03/10/2023 02:02:27 Saving data from USC00127298.txt
INFO: 03/10/2023 02:02:27 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127298.txt
INFO: 03/10/2023 02:02:27 Extracting data from USC00127482.txt
INFO: 03/10/2023 02:02:27 Saving data from USC00127482.txt
INFO: 03/10/2023 02:02:27 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127482.txt
INFO: 03/10/2023 02:02:27 Extracting data from USC00127522.txt
INFO: 03/10/2023 02:02:28 Saving data from USC00127522.txt
INFO: 03/10/2023 02:02:28 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127522.txt
INFO: 03/10/2023 02:02:28 Extracting data from USC00127646.txt
INFO: 03/10/2023 02:02:28 Saving data from USC00127646.txt
INFO: 03/10/2023 02:02:28 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127646.txt
INFO: 03/10/2023 02:02:28 Extracting data from USC00127755.txt
INFO: 03/10/2023 02:02:28 Saving data from USC00127755.txt
INFO: 03/10/2023 02:02:28 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127755.txt
INFO: 03/10/2023 02:02:28 Extracting data from USC00127875.txt
INFO: 03/10/2023 02:02:28 Saving data from USC00127875.txt
INFO: 03/10/2023 02:02:28 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127875.txt
INFO: 03/10/2023 02:02:28 Extracting data from USC00127935.txt
INFO: 03/10/2023 02:02:29 Saving data from USC00127935.txt
INFO: 03/10/2023 02:02:29 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00127935.txt
INFO: 03/10/2023 02:02:29 Extracting data from USC00128036.txt
INFO: 03/10/2023 02:02:29 Saving data from USC00128036.txt
INFO: 03/10/2023 02:02:29 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00128036.txt
INFO: 03/10/2023 02:02:29 Extracting data from USC00129080.txt
INFO: 03/10/2023 02:02:29 Saving data from USC00129080.txt
INFO: 03/10/2023 02:02:29 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129080.txt
INFO: 03/10/2023 02:02:29 Extracting data from USC00129113.txt
INFO: 03/10/2023 02:02:29 Saving data from USC00129113.txt
INFO: 03/10/2023 02:02:29 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129113.txt
INFO: 03/10/2023 02:02:29 Extracting data from USC00129253.txt
INFO: 03/10/2023 02:02:30 Saving data from USC00129253.txt
INFO: 03/10/2023 02:02:30 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129253.txt
INFO: 03/10/2023 02:02:30 Extracting data from USC00129511.txt
INFO: 03/10/2023 02:02:30 Saving data from USC00129511.txt
INFO: 03/10/2023 02:02:30 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129511.txt
INFO: 03/10/2023 02:02:30 Extracting data from USC00129557.txt
INFO: 03/10/2023 02:02:30 Saving data from USC00129557.txt
INFO: 03/10/2023 02:02:30 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129557.txt
INFO: 03/10/2023 02:02:30 Extracting data from USC00129670.txt
INFO: 03/10/2023 02:02:30 Saving data from USC00129670.txt
INFO: 03/10/2023 02:02:30 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00129670.txt
INFO: 03/10/2023 02:02:30 Extracting data from USC00130112.txt
INFO: 03/10/2023 02:02:31 Saving data from USC00130112.txt
INFO: 03/10/2023 02:02:31 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00130112.txt
INFO: 03/10/2023 02:02:31 Extracting data from USC00130133.txt
INFO: 03/10/2023 02:02:31 Saving data from USC00130133.txt
INFO: 03/10/2023 02:02:31 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00130133.txt
INFO: 03/10/2023 02:02:31 Extracting data from USC00130600.txt
INFO: 03/10/2023 02:02:31 Saving data from USC00130600.txt
INFO: 03/10/2023 02:02:31 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00130600.txt
INFO: 03/10/2023 02:02:31 Extracting data from USC00131402.txt
INFO: 03/10/2023 02:02:31 Saving data from USC00131402.txt
INFO: 03/10/2023 02:02:31 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00131402.txt
INFO: 03/10/2023 02:02:31 Extracting data from USC00131533.txt
INFO: 03/10/2023 02:02:32 Saving data from USC00131533.txt
INFO: 03/10/2023 02:02:32 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00131533.txt
INFO: 03/10/2023 02:02:32 Extracting data from USC00131635.txt
INFO: 03/10/2023 02:02:32 Saving data from USC00131635.txt
INFO: 03/10/2023 02:02:32 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00131635.txt
INFO: 03/10/2023 02:02:32 Extracting data from USC00132724.txt
INFO: 03/10/2023 02:02:32 Saving data from USC00132724.txt
INFO: 03/10/2023 02:02:32 Data available at /Users/ags/Downloads/weather_analysis/raw_files/USC00132724.txt
INFO: 03/10/2023 02:02:32 Extracting data from USC00132789.txt
